temp_C,source,well,n_points,mu_max,t_at_mu_max_hr
34,PROCESSED,F8,78,0.5168593106857307,6.632777778
35,PROCESSED,A1,119,0.43333320815602117,6.283333333
35,PROCESSED,A2,119,0.46973734500165976,6.283333333
35,PROCESSED,A3,119,0.44831678474401604,6.458055556
35,PROCESSED,A4,119,0.49130315558715965,6.283333333
35,PROCESSED,A5,119,0.5005715455319323,6.458055556
35,PROCESSED,A6,119,0.48855382716657025,6.458055556
35,PROCESSED,B1,119,0.4580638183998278,6.458055556
35,PROCESSED,B2,119,0.4906171541441702,6.8075
35,PROCESSED,B3,119,0.5141055488580373,6.283333333
35,PROCESSED,B5,119,0.5059551426725007,6.283333333
35,PROCESSED,B6,119,0.4971637466709078,6.458055556
35,PROCESSED,C1,119,0.4567393838077942,6.458055556
35,PROCESSED,C2,119,0.5089142117243834,6.283333333
35,PROCESSED,C3,119,0.4827055711511562,6.458055556
35,PROCESSED,C5,119,0.5126041303495468,6.283333333
35,PROCESSED,C6,119,0.5074741287334744,6.283333333
35,PROCESSED,D1,119,0.47269033220794654,6.283333333
35,PROCESSED,D2,119,0.5342501891133168,6.283333333
35,PROCESSED,D3,119,0.5123796759906657,6.458055556
35,PROCESSED,D4,119,0.5314640096139127,6.458055556
35,PROCESSED,D5,119,0.5404630284365453,6.8075
35,PROCESSED,D6,119,0.5515444548381828,6.458055556
35,PROCESSED,E1,119,0.4758429895448266,6.283333333
35,PROCESSED,E2,119,0.5126240030668603,6.283333333
35,PROCESSED,E3,119,0.48172268056621625,6.283333333
35,PROCESSED,E4,119,0.515305289763369,6.283333333
35,PROCESSED,E5,119,0.5097229988874993,6.8075
35,PROCESSED,E6,119,0.5110918974666501,6.458055556
35,PROCESSED,E7,119,0.5282396679113376,6.283333333
35,PROCESSED,E8,119,0.512302389805053,6.8075
35,PROCESSED,F1,119,0.48619756070978015,6.458055556
35,PROCESSED,F2,119,0.492506519532266,6.458055556
35,PROCESSED,F3,119,0.4892274024107006,6.283333333
35,PROCESSED,F4,119,0.5003233024531915,6.283333333
35,PROCESSED,F5,119,0.49462172118994263,6.283333333
35,PROCESSED,F6,119,0.5146312290668946,6.458055556
35,PROCESSED,F7,119,0.5185601704066524,6.458055556
36,PROCESSED,A1,133,0.48000704345885925,5.933888889
36,PROCESSED,A2,133,0.48513635928361,6.108611111
36,PROCESSED,A3,133,0.4912335966340744,5.933888889
36,PROCESSED,A4,133,0.5044557020857707,5.933888889
36,PROCESSED,A5,133,0.5024502347190408,6.108611111
36,PROCESSED,A6,133,0.5023684228074998,5.933888889
36,PROCESSED,B1,133,0.5177021186143337,6.108611111
36,PROCESSED,B2,133,0.5435420224888821,5.933888889
36,PROCESSED,B3,133,0.5143872294778367,5.933888889
36,PROCESSED,B4,133,0.5256219015509204,6.108611111
36,PROCESSED,B5,133,0.5506254671577203,6.108611111
36,PROCESSED,B6,133,0.5234258041953899,5.933888889
36,PROCESSED,C1,133,0.4966991711116179,6.108611111
36,PROCESSED,C2,133,0.5153052913831303,6.108611111
36,PROCESSED,C3,133,0.5323936325279156,6.108611111
36,PROCESSED,C4,133,0.5177695785739852,6.108611111
36,PROCESSED,C5,133,0.5232534506578127,6.108611111
36,PROCESSED,C6,133,0.5520295698977885,6.108611111
36,PROCESSED,D1,133,0.49606699897268725,6.108611111
36,PROCESSED,D2,133,0.5405335449523625,6.108611111
36,PROCESSED,D3,133,0.5437505724422866,6.108611111
36,PROCESSED,D4,133,0.5662339277154234,6.108611111
36,PROCESSED,D5,133,0.5209725338047789,6.108611111
36,PROCESSED,D6,133,0.5279243165245258,6.108611111
36,PROCESSED,E1,133,0.5065782204239554,6.108611111
36,PROCESSED,E2,133,0.5288803150167048,6.108611111
36,PROCESSED,E3,133,0.5280780686182422,6.108611111
36,PROCESSED,E4,133,0.5273244629707582,6.108611111
36,PROCESSED,E5,133,0.5371185715457112,5.933888889
36,PROCESSED,E6,133,0.5558953498830645,6.108611111
36,PROCESSED,E7,133,0.5501189592561768,6.108611111
36,PROCESSED,E8,133,0.5446013267974239,6.283333333
36,PROCESSED,F1,133,0.4875945284020575,6.108611111
36,PROCESSED,F2,133,0.5003233039405788,6.108611111
36,PROCESSED,F3,133,0.5133671463234559,6.108611111
36,PROCESSED,F4,133,0.5182697648378887,6.108611111
36,PROCESSED,F5,133,0.5301760271332625,6.108611111
36,PROCESSED,F6,133,0.5427733411733671,6.108611111
36,PROCESSED,F7,133,0.518237786235086,6.108611111
37,PROCESSED,A1,125,0.4385745031173639,5.759166667
37,PROCESSED,A2,125,0.4234719970185665,5.759166667
37,PROCESSED,A3,125,0.42863971459382266,5.933888889
37,PROCESSED,A4,125,0.42166111559493136,5.759166667
37,PROCESSED,A5,125,0.4510844182368393,5.584444444
37,PROCESSED,A6,125,0.41073617982342003,5.759166667
37,PROCESSED,B1,125,0.39894295115328804,5.584444444
37,PROCESSED,B2,125,0.3901942375287889,5.933888889
37,PROCESSED,B3,125,0.4617976107301376,5.584444444
37,PROCESSED,B4,125,0.44043655926823955,5.409722222
37,PROCESSED,B5,125,0.49857523567189477,5.584444444
37,PROCESSED,B6,125,0.4725106581811509,5.584444444
37,PROCESSED,C1,125,0.4679251383486175,5.759166667
37,PROCESSED,C2,125,0.48046286031015273,5.933888889
37,PROCESSED,C3,125,0.49912476870526856,5.933888889
37,PROCESSED,C4,125,0.4148905413235414,6.108611111
37,PROCESSED,C5,125,0.48238334903225455,5.584444444
37,PROCESSED,C6,125,0.4341458861276286,5.584444444
37,PROCESSED,D1,125,0.48604974405825463,6.108611111
37,PROCESSED,D2,125,0.4895022211191774,5.759166667
37,PROCESSED,D3,125,0.5016365935163982,5.759166667
37,PROCESSED,D4,125,0.5274192254661977,6.8075
37,PROCESSED,D5,125,0.5232900057662189,5.584444444
37,PROCESSED,D6,125,0.47211002389522483,5.584444444
37,PROCESSED,E1,125,0.46713439984207294,5.759166667
37,PROCESSED,E2,125,0.47333005135629813,5.933888889
37,PROCESSED,E3,125,0.47164402926176807,5.933888889
37,PROCESSED,E5,125,0.497220083120292,5.759166667
37,PROCESSED,E7,125,0.5126240034288891,5.759166667
37,PROCESSED,E8,125,0.5257187078731047,5.759166667
37,PROCESSED,F1,125,0.40335871017436953,5.759166667
37,PROCESSED,F2,125,0.44973133121967346,6.982222222
37,PROCESSED,F3,125,0.48153165347651117,5.759166667
37,PROCESSED,F4,125,0.5126041306126551,5.759166667
37,PROCESSED,F5,125,0.46367945776590846,5.759166667
37,PROCESSED,F6,125,0.4701836118684313,5.759166667
37,PROCESSED,F7,125,0.46920908934172,5.759166667
37,PROCESSED,F8,125,0.4475312716936827,5.759166667
38,PROCESSED,A1,138,0.42199694136541077,5.759166667
38,PROCESSED,A2,138,0.42523050826646713,5.584444444
38,PROCESSED,A4,138,0.3939646510556227,5.584444444
38,PROCESSED,A5,138,0.4646193767140222,5.584444444
38,PROCESSED,A6,138,0.3999546834898293,5.759166667
38,PROCESSED,B1,138,0.3614999648401147,5.409722222
38,PROCESSED,B2,138,0.41426023998664585,5.759166667
38,PROCESSED,B3,138,0.41510656608226393,5.759166667
38,PROCESSED,B4,138,0.41102810612549945,5.584444444
38,PROCESSED,B5,138,0.4901257497686946,5.584444444
38,PROCESSED,B6,138,0.4847617646687702,5.584444444
38,PROCESSED,C1,138,0.47609592112333476,5.759166667
38,PROCESSED,C2,138,0.47357431473495826,5.584444444
38,PROCESSED,C3,138,0.5550632294321601,5.584444444
38,PROCESSED,C4,138,0.4238395184451784,5.759166667
38,PROCESSED,C5,138,0.43218472253643836,5.409722222
38,PROCESSED,C6,138,0.4205522216302998,5.759166667
38,PROCESSED,D1,138,0.534985254062605,5.759166667
38,PROCESSED,D2,138,0.5016365932125486,5.584444444
38,PROCESSED,D3,138,0.5177021169366745,5.584444444
38,PROCESSED,D4,138,0.5059875523180479,5.584444444
38,PROCESSED,D5,138,0.5343534655150698,5.584444444
38,PROCESSED,D6,138,0.475163054983751,5.584444444
38,PROCESSED,E1,138,0.48724418160134153,5.759166667
38,PROCESSED,E2,138,0.4989445093476419,5.759166667
38,PROCESSED,E3,138,0.5001884498224252,5.759166667
38,PROCESSED,E5,138,0.5042636282191484,5.584444444
